close,start,high,low,volume,transactionPrice,capitalization
89100,87500,89600,86300,4331728,3.82388E+11,6.4865E+13
87500,91000,92500,87100,4959176,4.4069E+11,6.37002E+13
91000,91500,93100,91000,3098854,2.84596E+11,6.62482E+13
94000,93300,94900,92900,2529973,2.37097E+11,6.84322E+13
95300,94500,95300,93700,2022966,1.91564E+11,6.93786E+13
95000,92700,96100,92600,3408749,3.22782E+11,6.91602E+13
91600,90500,92000,90500,3045970,2.78278E+11,6.6685E+13
90200,92100,93000,89700,3983116,3.62604E+11,6.56658E+13
92200,95700,95700,91700,3509830,3.26449E+11,6.71218E+13
95200,94700,95900,93900,2707302,2.56917E+11,6.93058E+13
94500,96700,96800,93100,2386222,2.24647E+11,6.87962E+13
96400,95100,96400,95000,3965464,3.79777E+11,7.01794E+13
97400,99900,101500,97100,3810703,3.79577E+11,7.09074E+13
97900,98500,98900,96700,2578500,2.518E+11,7.12714E+13
99100,96900,99600,96800,3242550,3.19155E+11,7.2145E+13
99000,100000,101000,99000,4133447,4.12791E+11,7.20722E+13
103500,104000,104500,102500,3480289,3.58674E+11,7.53482E+13
105500,105500,107000,104500,4640744,4.91232E+11,7.68042E+13
106000,104500,107500,104500,3075530,3.26583E+11,7.71683E+13
104000,105500,106000,103500,3174521,3.32407E+11,7.57122E+13
107000,108000,108500,107000,1638006,1.76161E+11,7.78963E+13
107000,106000,107500,106000,3097583,3.30342E+11,7.78963E+13
108000,106500,108000,105500,4024509,4.31706E+11,7.86243E+13
107000,108000,108000,106000,2054526,2.19413E+11,7.78963E+13
106000,105500,107000,105000,3686487,3.90822E+11,7.71683E+13
103000,107500,108500,101500,8523001,8.93079E+11,7.49842E+13
108000,109500,110000,107000,4151560,4.49254E+11,7.86243E+13
108500,111500,112000,108500,4491835,4.93007E+11,7.89883E+13
113000,113000,113500,111000,3160028,3.55054E+11,8.22643E+13
112500,111500,113000,111000,2398978,2.69003E+11,8.19003E+13
111000,110500,112500,110000,3680049,4.09121E+11,8.08083E+13
113500,114000,115000,113000,3570113,4.07131E+11,8.26283E+13
112500,111000,113000,110500,2056143,2.30229E+11,8.19003E+13
110500,113500,114000,110000,3930044,4.37752E+11,8.04443E+13
112500,109000,112500,109000,4003349,4.46418E+11,8.19003E+13
109000,109500,111500,108500,4132948,4.5365E+11,7.93523E+13
110500,110500,112500,108000,3658168,4.04955E+11,8.04443E+13
110000,107000,111000,107000,4141923,4.50009E+11,8.00803E+13
107500,107000,109000,106500,2203472,2.37915E+11,7.82603E+13
107500,108000,108500,106500,2566813,2.76061E+11,7.82603E+13
109500,110500,111000,108500,2491890,2.72895E+11,7.97163E+13
110000,111000,112000,109500,2676115,2.96293E+11,8.00803E+13
110500,110000,111500,110000,2175384,2.40459E+11,8.04443E+13
112500,110000,112500,109500,3752415,4.18644E+11,8.19003E+13
109500,109500,110000,108000,2804966,3.05741E+11,7.97163E+13
108500,108000,109500,107500,3261290,3.52793E+11,7.89883E+13
111000,109500,111000,108000,2969516,3.25299E+11,8.08083E+13
108000,109000,109500,108000,2282343,2.47214E+11,7.86243E+13
110500,110500,112000,110500,2360834,2.61795E+11,8.04443E+13
113000,112500,115000,112500,3199858,3.64498E+11,8.22643E+13
112500,112500,113000,111000,2905007,3.25207E+11,8.19003E+13
112500,110000,112500,109500,3021192,3.37878E+11,8.19003E+13
109000,107000,109500,106500,2670439,2.89568E+11,7.93523E+13
108000,108000,108500,107000,3694012,3.97259E+11,7.86243E+13
110000,113000,113000,110000,4715700,5.22073E+11,8.00803E+13
113000,112000,113000,111000,2484490,2.78811E+11,8.22643E+13
111000,110500,113000,110500,2738163,3.05374E+11,8.08083E+13
111500,111000,113000,110500,2390786,2.66927E+11,8.11723E+13
112000,113000,114000,110500,4268316,4.78158E+11,8.15363E+13
113500,111500,114500,110500,5027865,5.64778E+11,8.26283E+13
113000,114500,115500,113000,4541938,5.15845E+11,8.22643E+13
116500,117500,118000,116000,2101474,2.45221E+11,8.48123E+13
117000,115000,117500,114500,2470792,2.86487E+11,8.51763E+13
116000,117000,117500,116000,3851558,4.48385E+11,8.44483E+13
118000,119500,120000,117500,4558063,5.41078E+11,8.59043E+13
121000,123000,123000,120500,3436282,4.18424E+11,8.80883E+13
120000,119500,120500,118500,3375247,4.0304E+11,8.73603E+13
118000,117500,119500,116500,3234792,3.82156E+11,8.59043E+13
118000,122000,123000,118000,5514940,6.57415E+11,8.59043E+13
120500,121000,122000,119500,4215272,5.07616E+11,8.77243E+13
123500,124000,124500,122000,4085633,5.02102E+11,8.99083E+13
123500,121000,124000,121000,2246439,2.75489E+11,8.99083E+13
122000,124000,124500,121000,3433809,4.19326E+11,8.88163E+13
124000,124000,125000,121000,4493159,5.52673E+11,9.02723E+13
124000,121000,124500,121000,7219813,8.86591E+11,9.02723E+13
116500,115000,117000,114000,3739977,4.31646E+11,8.48123E+13
112500,114500,115500,112000,3578256,4.04689E+11,8.19003E+13
116000,115500,117000,114500,3172353,3.66558E+11,8.44483E+13
117000,118500,119000,115500,3087532,3.60483E+11,8.51763E+13
